iso3_code,country,region,subregion,indicator,dimension,category,sex,age,year,unit of measurement,value,source
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,18.0,CTS
CAN,Canada,Americas,Northern America,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,308.0,CTS
CHE,Switzerland,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,72.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,10.0,CTS
CZE,Czechia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,19.0,CTS
DEU,Germany,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,758.0,CTS
ESP,Spain,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,142.0,CTS
FIN,Finland,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,28.0,CTS
FRA,France,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,1494.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,46.0,CTS
HRV,Croatia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,11.0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,28.0,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,3.0,CTS
LVA,Latvia,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,0.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,0.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,66.0,CTS
ROU,Romania,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,33.0,CTS
SVK,Slovakia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,17.0,CTS
SVN,Slovenia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,9.0,CTS
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2016,Counts,13.0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,4.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,1212.0,CTS
AUT,Austria,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,81.0,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,3.0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,25.0,CTS
CAN,Canada,Americas,Northern America,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,864.0,CTS
CHE,Switzerland,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,87.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,10.0,CTS
DEU,Germany,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,721.0,CTS
ESP,Spain,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,157.0,CTS
FIN,Finland,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,16.0,CTS
FRA,France,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,1603.0,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,0.0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,17.0,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,0.0,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,2.0,CTS
LVA,Latvia,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,9.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,321.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,2.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,41.0,CTS
OMN,Oman,Asia,Western Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,0.0,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,13.0,PPR
ROU,Romania,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,31.0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,49.0,CTS
SVK,Slovakia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,29.0,CTS
SVN,Slovenia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,10.0,CTS
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2017,Counts,11.0,CTS
ALB,Albania,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,1.0,CTS
ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,2.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,1156.0,CTS
AUT,Austria,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,104.0,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,5.0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,21.0,CTS
CAN,Canada,Americas,Northern America,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,961.0,CTS
CHE,Switzerland,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,103.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,675.0,CTS
DEU,Germany,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,762.0,CTS
ESP,Spain,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,190.0,CTS
FIN,Finland,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,33.0,CTS
FRA,France,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,1839.0,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,6.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,4.0,CTS
HRV,Croatia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,14.0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,8.0,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,0.0,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,9.0,CTS
LVA,Latvia,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,8.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,372.0,CTS
MMR,Myanmar,Asia,South-eastern Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,2.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,3.0,CTS
NZL,New Zealand,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,42.0,CTS
OMN,Oman,Asia,Western Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,0.0,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,15.0,PPR
ROU,Romania,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,27.0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,38.0,CTS
SVK,Slovakia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,18.0,CTS
SVN,Slovenia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,2.0,CTS
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2018,Counts,17.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,1253.0,CTS
AUT,Austria,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,149.0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,100.0,CTS
CAN,Canada,Americas,Northern America,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,1239.0,CTS
CHE,Switzerland,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,89.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,675.0,CTS
DEU,Germany,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,887.0,CTS
ESP,Spain,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,146.0,CTS
FIN,Finland,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,28.0,CTS
FRA,France,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,2248.0,CTS
GBR_E_W,United Kingdom (England and Wales),Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,17.0,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,0.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,8.0,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,51.0,CTS
HRV,Croatia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,11.0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,13.0,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,0.0,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,5.0,CTS
LVA,Latvia,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,8.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,1282.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,2.0,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,29.0,PPR
ROU,Romania,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,45.0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,55.0,CTS
SVK,Slovakia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,25.0,CTS
SVN,Slovenia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,5.0,CTS
SWE,Sweden,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2019,Counts,72.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,1413.0,CTS
AUT,Austria,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,121.0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,120.0,CTS
CAN,Canada,Americas,Northern America,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,1248.0,CTS
CHE,Switzerland,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,93.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,387.0,CTS
CZE,Czechia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,37.0,CTS
DEU,Germany,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,1049.0,CTS
ESP,Spain,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,165.0,CTS
FIN,Finland,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,35.0,CTS
FRA,France,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,2340.0,CTS
GTM,Guatemala,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,1.0,CTS
GUY,Guyana,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,20.0,CTS
HND,Honduras,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,37.0,CTS
HRV,Croatia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,5.0,CTS
HUN,Hungary,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,26.0,CTS
KNA,Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,0.0,CTS
LTU,Lithuania,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,0.0,CTS
LVA,Latvia,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,6.0,CTS
MAR,Morocco,Africa,Northern Africa,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,5.0,CTS
MEX,Mexico,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,1169.0,CTS
MNG,Mongolia,Asia,Eastern Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,0.0,CTS
OMN,Oman,Asia,Western Asia,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,3.0,CTS
PAN,Panama,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,14.0,PPR
ROU,Romania,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,28.0,CTS
SLV,El Salvador,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,55.0,CTS
SVK,Slovakia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,20.0,CTS
SVN,Slovenia,Europe,Southern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,7.0,CTS
SWE,Sweden,Europe,Northern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2020,Counts,85.0,CTS
AUS,Australia,Oceania,Australia and New Zealand,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,1280.0,CTS
AUT,Austria,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,110.0,CTS
BHS,Bahamas,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,6.0,CTS
BLZ,Belize,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,0.0,CTS
BOL,Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,97.0,CTS
CAN,Canada,Americas,Northern America,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,1487.0,CTS
CHE,Switzerland,Europe,Western Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,103.0,CTS
COL,Colombia,Americas,Latin America and the Caribbean,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,400.0,CTS
CZE,Czechia,Europe,Eastern Europe,Victims of sexual violence,by relationship to perpetrator,Intimate partner or family member,Male,Total,2021,Counts,35.0,CTS
